stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,387,726.7796008891497,722.8286310128169,938.7740660022246,1141.757047997089
classifier_delay_ms,aggregate,False,387,678.426100879263,676.2938499887241,894.3795680097537,1094.9489750055363
sam_delay_ms,aggregate,False,387,459.07073570513893,456.77001899457537,569.6890690014698,832.9649710067315
sam_inference_ms,leaf,False,387,438.54544409786115,437.90782398718875,549.6980239986442,814.605784995365
rap_delay_ms,aggregate,False,387,184.16573682167322,175.23745700600557,280.80753299582284,584.9097949976567
geometry_metadata_ms,leaf,True,387,103.68630543302442,99.34866901312489,176.9837350148009,304.72968601679895
frame_assignment_ms,leaf,True,387,71.809254354242,66.2901899922872,117.45818999770563,408.14253500138875
assignment_candidate_search_ms,leaf,False,387,57.36882664875858,53.23276499984786,98.91193200019188,376.827386993682
geometry_projection_ms,leaf,False,387,45.13282424567095,38.31701799936127,99.1704999760259,227.119864008273
sent_to_classifier_delay_ms,aggregate,False,387,32.43050109308534,27.93233199918177,80.40686100139283,153.3337340079015
frame_queue_wait_ms,leaf,True,387,32.273558891450236,27.787184008047916,80.19547600997612,153.1925540039083
result_message_build_delay_ms,leaf,True,387,27.149607133446985,27.346865987055935,47.57342398806941,68.07935598772019
geometry_mask_extract_ms,leaf,False,387,26.728335328042768,24.88259700476192,45.63810500258114,71.61488800193183
assignment_3d_geometry_ms,leaf,False,387,24.18094827858665,21.082665101857856,48.440661616041325,329.4649390154518
geometry_stats_ms,leaf,False,387,22.28447933642504,19.68465898244176,40.752855013124645,79.85653397918213
sam_restore_ms,leaf,False,387,20.291840098189127,18.99937399139162,29.351491990382783,102.66477598634083
assignment_centroid_iou_ms,leaf,False,387,15.956812409721062,12.821358002838679,31.187253960524686,338.6839490849525
coordinator_delay_ms,aggregate,False,387,13.171948749723649,13.147724996088073,18.876453992561437,24.93672700074967
geometry_depth_gather_ms,leaf,False,387,8.68079647266466,6.258470966713503,22.430102006183006,66.87763999798335
hydra_build_delay_ms,aggregate,False,387,8.07315354775132,7.889522996265441,12.939621999976225,18.39317599660717
assignment_a2_redundancy_ms,leaf,False,387,7.918836902156207,7.719707005890086,14.88642800541129,31.28391000791453
hydra_depth_filter_ms,leaf,True,387,7.419020718016821,7.14353600051254,12.193435992230661,17.792200989788398
assignment_scoring_ms,leaf,False,387,7.289698907152812,6.366884335875511,16.150557275977917,32.17491497343872
label_map_delay_ms,leaf,True,387,6.204209260739391,5.241836988716386,13.041989004705101,28.734368999721482
track_association_ms,leaf,True,387,4.633134649103888,4.072203999385238,8.221843003411777,22.52978402248118
hydra_publish_delay_ms,leaf,True,387,4.230052684528515,3.7777490069856867,7.4404879997018725,12.22987000073772
assignment_a3_nested_ms,leaf,False,387,4.198409170162014,3.5184530133847147,8.40632600011304,17.1279279893497
assignment_row_init_ms,leaf,False,387,2.8214130926791827,2.2262407728703693,6.807868150644936,28.277323770453222
assignment_hungarian_ms,leaf,False,387,2.2335088862502075,2.160641990485601,4.077708013937809,8.762102996115573
pipeline_wait_ms,leaf,False,387,1.8549359572608535,1.8379309913143516,3.4143989760195836,5.943386000581086
crop_update_ms,leaf,True,387,1.7793883045895256,1.120064000133425,5.642655989504419,14.877892026561312
image_conversion_delay_ms,leaf,True,387,1.6154441546702285,1.3498820044333115,3.112680002232082,14.688904004287906
active_segments_publish_ms,leaf,True,387,1.4771454288017785,1.3910650013713166,1.814540009945631,11.39857099042274
sam_output_queue_wait_ms,leaf,True,387,0.8909185535442301,0.624877997324802,0.8769970008870587,85.37410700228065
unknown_publish_delay_ms,leaf,True,387,0.862859878451407,0.7392100087599829,1.3891449925722554,5.208421003771946
hydra_build_other_ms,leaf,True,387,0.5503040933933407,0.5329459963832051,0.690795000991784,2.377310986048542
semantic_dispatch_ms,leaf,False,387,0.38236473455064923,0.3794450021814555,0.707180006429553,3.693423990625888
run_rap_other_ms,leaf,True,387,0.3721273954066109,0.3451750089880079,0.4443740617716685,6.361695996019989
sam_prepare_ms,leaf,False,387,0.22582927876235123,0.19388199143577367,0.33349399745929986,1.6697760001989082
callback_enqueue_delay_ms,leaf,True,387,0.1569422016351048,0.14953099889680743,0.19852198602166027,0.36862898559775203
metadata_delay_ms,leaf,True,387,0.15354297392025773,0.14178799756336957,0.1917059998959303,2.4844430008670315
hydra_metadata_build_ms,leaf,True,387,0.10382873634115891,0.10041298810392618,0.13113200839143246,0.3305830032331869
association_lock_wait_ms,leaf,False,387,0.07185530839776692,0.014815988834016025,0.021216008462943137,8.40001400501933
classifier_other_ms,leaf,True,387,0.06682482967393844,0.06463800673373044,0.08262101619038731,0.2553850063122809
sam_other_ms,leaf,False,387,0.0076222303263284745,0.007232010830193758,0.00937600270844996,0.08598198473919183
coordinator_other_ms,leaf,True,387,0.005882638992407198,0.005022986442781985,0.0066559878177940845,0.29448699206113815
classifier_debug_record_delay_ms,leaf,False,387,0.005195656272724694,0.005055990186519921,0.007519993232563138,0.00963200000114739
quality_deferred_release_ms,leaf,False,387,0.004732958612679588,0.0045439956011250615,0.006399990525096655,0.013887009117752314
assignment_lock_wait_ms,leaf,False,387,0.004370390274802593,0.004191999323666096,0.005504000000655651,0.04508699930738658
