stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,301,606.3767755286635,600.1580320007633,756.5085020032711,1062.869186993339
classifier_delay_ms,aggregate,False,301,552.6803690032991,547.4709929985693,673.0514859955292,1037.0400870015146
sam_delay_ms,aggregate,False,301,348.9778987307989,350.0366789958207,425.914899999043,513.86544900015
sam_inference_ms,leaf,False,301,327.04540922588234,328.33739698980935,406.76041900587734,483.0984330037609
rap_delay_ms,aggregate,False,301,162.65316588396672,150.47066200349946,251.41191300645005,601.2090910080587
geometry_metadata_ms,leaf,True,301,83.43344587436064,77.00421397748869,143.79373502742965,211.3755190221127
frame_assignment_ms,leaf,True,301,71.30811380795234,62.39769799867645,116.62110999168362,475.5320629919879
assignment_candidate_search_ms,leaf,False,301,58.62477980728147,51.86011400655843,103.29386300873011,450.49366299645044
sent_to_classifier_delay_ms,aggregate,False,301,38.12296016001958,33.62545599520672,101.94681899156421,374.94335899828
frame_queue_wait_ms,leaf,True,301,37.972842940892036,33.35616299591493,101.82417200121563,374.81428000319283
geometry_projection_ms,leaf,False,301,34.64114606931405,28.925268998136744,77.88530299148988,155.1115350157488
result_message_build_delay_ms,leaf,True,301,32.44384221633605,33.05528499186039,58.50455700419843,81.55738899949938
geometry_mask_extract_ms,leaf,False,301,23.222817047845272,21.191845007706434,39.96608899615239,61.36919799610041
sam_restore_ms,leaf,False,301,21.577041505478583,21.425443002954125,31.21762999217026,36.12742299446836
geometry_stats_ms,leaf,False,301,18.16691948682808,15.415046000271104,36.54457500670105,49.74482400575653
coordinator_delay_ms,aggregate,False,301,13.21547151526956,12.867940997239202,19.105388011666946,29.858674999559298
hydra_build_delay_ms,aggregate,False,301,8.26729798009364,8.1538480008021,13.679398005479015,25.339017010992393
hydra_depth_filter_ms,leaf,True,301,7.573588065769402,7.525081993662752,12.939809006638825,20.393338010762818
assignment_a2_redundancy_ms,leaf,False,301,6.796471196465794,6.182530996738933,14.33482400898356,35.073754013865255
geometry_depth_gather_ms,leaf,False,301,6.619339885545563,5.21612299780827,13.90601102320943,34.33766998932697
label_map_delay_ms,leaf,True,301,5.223052551431513,4.2453200003365055,10.814469002070837,23.677845994825475
hydra_publish_delay_ms,leaf,True,301,4.0456670235093695,3.754849996767007,5.815429001813754,10.019916997407563
track_association_ms,leaf,True,301,3.9672495821352425,3.6710380081785843,6.49919398711063,16.66015895898454
assignment_a3_nested_ms,leaf,False,301,3.685475936949646,3.2089329906739295,7.217988997581415,22.760521998861805
image_conversion_delay_ms,leaf,True,301,3.183274770343515,2.318009006557986,6.954382013645954,15.064893988892436
pipeline_wait_ms,leaf,False,301,2.330748052212512,2.3331470147240907,4.576572988298722,9.256221994291991
assignment_hungarian_ms,leaf,False,301,2.1106127540382134,2.0661629969254136,4.109759000129998,8.716698008356616
crop_update_ms,leaf,True,301,1.6980994573215709,1.036632020259276,5.184213034226559,21.396057010861114
active_segments_publish_ms,leaf,True,301,1.4886860268699482,1.3936210016254336,1.9180759991286322,16.371502002584748
unknown_publish_delay_ms,leaf,True,301,0.8944717510077372,0.7224750006571412,2.093937000609003,6.153131005703472
hydra_build_other_ms,leaf,True,301,0.5900056750271501,0.5356109904823825,0.679604010656476,5.707571021048352
semantic_dispatch_ms,leaf,False,301,0.3776353984248153,0.35847199615091085,0.712592009222135,5.484064997290261
run_rap_other_ms,leaf,True,301,0.3569944939797317,0.3445220354478806,0.46365000889636576,0.7199110259534791
sam_prepare_ms,leaf,False,301,0.3476316381289942,0.20926700381096452,1.237730000866577,4.51031701231841
metadata_delay_ms,leaf,True,301,0.15156700990767685,0.1461020001443103,0.18897799600381404,0.3529700043145567
callback_enqueue_delay_ms,leaf,True,301,0.15011721912754447,0.14466200082097203,0.18747600552160293,0.39757401100359857
hydra_metadata_build_ms,leaf,True,301,0.1037042392970858,0.09804101136978716,0.13493499136529863,0.39731299330014735
classifier_other_ms,leaf,True,301,0.047567840514741715,0.04562799585983157,0.06009297794662416,0.220977992285043
classifier_debug_record_delay_ms,leaf,False,301,0.027226797862758122,0.003936002030968666,0.007360009476542473,3.840435005258769
coordinator_other_ms,leaf,True,301,0.008034760658814885,0.004992005415260792,0.006719972589053214,0.7659549883101135
sam_other_ms,leaf,False,301,0.007816361309032255,0.007583992555737495,0.009982992196455598,0.02847799623850733
quality_deferred_release_ms,leaf,False,301,0.004893116545832509,0.00457599526271224,0.006463989848271012,0.029885995900258422
