stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,376,727.4060002979783,712.5132104993099,896.9087619916536,1563.4598309989087
classifier_delay_ms,aggregate,False,376,676.0621445077088,667.3555740053416,822.6422699954128,1150.6650460069068
sam_delay_ms,aggregate,False,376,456.95939536702275,449.90355300251395,551.185700998758,937.7524709998397
sam_inference_ms,leaf,False,376,436.29143418319416,427.9364239991992,527.0191019953927,921.2584560009418
rap_delay_ms,aggregate,False,376,184.07765618611208,178.16323050647043,261.56547699065413,520.9522700024536
geometry_metadata_ms,leaf,True,376,101.85799464639747,95.80880300927674,172.9316049895715,242.85788103588857
frame_assignment_ms,leaf,True,376,74.0131899894666,69.89718399563571,113.08456699771341,452.98175999778323
assignment_candidate_search_ms,leaf,False,376,60.55549987251381,57.75491449458059,99.30753499793354,421.3994099991396
geometry_projection_ms,leaf,False,376,40.9856162466972,36.72192250814987,86.3692460115999,138.88097398739774
sent_to_classifier_delay_ms,aggregate,False,376,35.14165673925859,26.937172500765882,87.60484200320207,535.7849370047916
frame_queue_wait_ms,leaf,True,376,34.98044343328691,26.783125998917967,87.44561100320425,535.7020889932755
geometry_mask_extract_ms,leaf,False,376,28.271144919268952,26.111047009180766,46.73135103075765,71.39321000431664
assignment_3d_geometry_ms,leaf,False,376,27.16580875413127,25.50110607262468,49.734995132894255,66.34849906549789
result_message_build_delay_ms,leaf,True,376,27.14060301072908,25.623451001592912,48.752417002106085,64.25758800469339
geometry_stats_ms,leaf,False,376,22.92475811450555,20.37922101590084,44.91289499856066,80.55022699409164
sam_restore_ms,leaf,False,376,20.415237433708363,19.920951010135468,29.56941199954599,59.070133997011
assignment_centroid_iou_ms,leaf,False,376,14.76059411160872,12.673758646997157,28.175102124805562,341.8400588561781
coordinator_delay_ms,aggregate,False,376,13.653692760504162,13.373110006796196,19.00090099661611,29.273395004565828
geometry_depth_gather_ms,leaf,False,376,8.733670428479487,6.565330004377756,20.248121974873357,46.21248600597028
hydra_build_delay_ms,aggregate,False,376,8.250614539684513,7.902772493252996,13.24342300358694,23.658118007006124
hydra_depth_filter_ms,leaf,True,376,7.593887763776249,7.218009493954014,12.42099900264293,23.02177199453581
assignment_scoring_ms,leaf,False,376,7.215283939505288,6.655853962001856,14.073014332097955,31.494473747443408
assignment_a2_redundancy_ms,leaf,False,376,7.077109755165169,6.479765004769433,12.661835993640125,41.65832400030922
label_map_delay_ms,leaf,True,376,5.9786626569164465,5.2472624956863,11.878254998009652,21.540856003412046
hydra_publish_delay_ms,leaf,True,376,4.568696529106014,4.1178820029017515,7.88577800267376,10.229318009805866
track_association_ms,leaf,True,376,4.316682158845497,3.914218003046699,7.603286023368128,11.396890971809626
assignment_a3_nested_ms,leaf,False,376,4.1383320405386375,3.5124960049870424,8.264531992608681,24.646985009894706
assignment_row_init_ms,leaf,False,376,3.573264578664477,2.1807164230267517,7.239001613925211,341.10524982679635
assignment_hungarian_ms,leaf,False,376,2.144696566787427,2.08415649831295,3.9636099972995,8.852914004819468
pipeline_wait_ms,leaf,False,376,1.8399653166697851,1.8279989890288562,3.169216011883691,4.3574919836828485
crop_update_ms,leaf,True,376,1.6999978871605523,1.148694493167568,5.019059011829086,10.61477800249122
image_conversion_delay_ms,leaf,True,376,1.6870831863188676,1.3626745057990775,3.5495039919624105,16.755354998167604
active_segments_publish_ms,leaf,True,376,1.4156079625458817,1.3826110007357784,1.7510549951111898,4.954292991897091
unknown_publish_delay_ms,leaf,True,376,0.8293207152901425,0.7183449997683056,1.1617809941526502,4.977778997272253
sam_output_queue_wait_ms,leaf,True,376,0.704145354130231,0.6315299979178235,0.8884720009518787,4.452505003428087
hydra_build_other_ms,leaf,True,376,0.5573910869877201,0.5411470046965405,0.6707460124744102,4.562097994494252
run_rap_other_ms,leaf,True,376,0.3737708897499536,0.343354964570608,0.4332769603934139,9.380430041346699
semantic_dispatch_ms,leaf,False,376,0.37177630045025195,0.36276499304221943,0.7358010043390095,1.3747389893978834
sam_prepare_ms,leaf,False,376,0.2456280748679382,0.1953899991349317,0.3549730026861653,3.400225003133528
callback_enqueue_delay_ms,leaf,True,376,0.16121330597169173,0.15577450540149584,0.20447799761313945,0.40028500370681286
metadata_delay_ms,leaf,True,376,0.15190984057435925,0.1439984916942194,0.19283000438008457,0.7369209924945608
hydra_metadata_build_ms,leaf,True,376,0.099335688920543,0.09652750304667279,0.1230389898410067,0.23068599693942815
classifier_other_ms,leaf,True,376,0.06683426003524182,0.06620601197937503,0.08086200978141278,0.17110297631006688
association_lock_wait_ms,leaf,False,376,0.0384436299351906,0.014832003216724843,0.020767009118571877,1.9127819687128067
sam_other_ms,leaf,False,376,0.007095675252283864,0.007039998308755457,0.00889599323272705,0.010687988833524287
quality_deferred_release_ms,leaf,False,376,0.005327449508377925,0.005071997293271124,0.007391994586214423,0.011231997632421553
assignment_lock_wait_ms,leaf,False,376,0.005067797633757359,0.00457599526271224,0.006080008461140096,0.10895899322349578
coordinator_other_ms,leaf,True,376,0.005060976423494062,0.004863992216996849,0.006751986802555621,0.028064008802175522
classifier_debug_record_delay_ms,leaf,False,376,0.004395619706632173,0.004320005245972425,0.006943999323993921,0.0264630070887506
