stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,239,743.0774621422479,726.8366620046436,962.188764999155,1381.6116740053985
classifier_delay_ms,aggregate,False,239,683.7655080169528,673.5460260024411,861.4584390015807,1316.3996290022624
sam_delay_ms,aggregate,False,239,349.050882995482,348.28108199872077,415.158285999496,493.54119499912485
sam_inference_ms,leaf,False,239,328.4410050501838,326.2617849977687,393.38335399952484,475.0439689960331
rap_delay_ms,aggregate,False,239,294.7567626402229,275.4271410012734,490.0208930048393,938.6161349975737
crop_update_ms,leaf,True,239,135.03163200053586,118.4036139966338,307.9421589936828,439.4636159922811
geometry_metadata_ms,leaf,True,239,84.39453750218958,80.94034298119368,141.78563799941912,221.97931600385346
frame_assignment_ms,leaf,True,239,68.52337655634595,62.98353500460507,105.03348999918671,439.7942880023038
sent_to_classifier_delay_ms,aggregate,False,239,44.31941822173281,33.86060900083976,106.63879399362486,525.0182539966772
frame_queue_wait_ms,leaf,True,239,44.14998687022935,33.70114899735199,106.47443699417636,524.8562979977578
result_message_build_delay_ms,leaf,True,239,31.57046138879207,31.728071997349616,56.476628000382334,75.21527799690375
sam_restore_ms,leaf,False,239,20.227509878746773,19.574857004045043,29.425319997244515,36.08179200091399
coordinator_delay_ms,aggregate,False,239,12.715142677578525,12.584762000187766,18.227983004180714,23.92786600103136
hydra_build_delay_ms,aggregate,False,239,7.941221100413124,7.915923997643404,12.018686000374146,19.610028000897728
hydra_depth_filter_ms,leaf,True,239,7.2843468117612415,7.19091000064509,11.380716001440305,18.966586998431012
label_map_delay_ms,leaf,True,239,4.928212819821162,4.699969998910092,9.720545000163838,17.932356997334864
track_association_ms,leaf,True,239,4.432617463874115,4.330898002081085,5.993917002342641,10.503721015993506
hydra_publish_delay_ms,leaf,True,239,3.934734962404721,3.6542379966704175,5.57051499345107,10.068556999613065
image_conversion_delay_ms,leaf,True,239,3.2645926819812257,2.1862749999854714,8.16444100200897,16.518382995855063
pipeline_wait_ms,leaf,False,239,2.271994991494912,2.2081890056142583,4.276430991012603,8.004469993466046
active_segments_publish_ms,leaf,True,239,1.418516502160848,1.4159439961076714,1.6629950041533448,2.185290999477729
unknown_publish_delay_ms,leaf,True,239,0.8059585649397412,0.7116080014384352,0.9965700010070577,4.4129779998911545
hydra_build_other_ms,leaf,True,239,0.558356100619794,0.5228939917287789,0.6328189992927946,4.2809709993889555
run_rap_other_ms,leaf,True,239,0.5348648826755333,0.49524502537678927,0.6324959977064282,5.541310005355626
semantic_dispatch_ms,leaf,False,239,0.392092017091082,0.39377299981424585,0.7088820057106204,1.418376006768085
sam_prepare_ms,leaf,False,239,0.3750651840887239,0.20800699712708592,1.2422129948390648,4.881303997535724
callback_enqueue_delay_ms,leaf,True,239,0.16943135150346836,0.1619239992578514,0.21632700372720137,0.33108299976447597
metadata_delay_ms,leaf,True,239,0.14963854406521923,0.1420519984094426,0.1913659943966195,0.7116710039554164
hydra_metadata_build_ms,leaf,True,239,0.09851818803208783,0.0948510059970431,0.11849900329252705,0.24640699848532677
classifier_other_ms,leaf,True,239,0.0449569465881837,0.0444490069639869,0.054753989388700575,0.07158600055845454
coordinator_other_ms,leaf,True,239,0.03322804982093977,0.0051529859774746,0.006847985787317157,4.888065006525721
sam_other_ms,leaf,False,239,0.0073028824627730665,0.007263995939865708,0.009120987670030445,0.010881005437113345
classifier_debug_record_delay_ms,leaf,False,239,0.005398234488855596,0.005408001015894115,0.007424001523759216,0.009504998160991818
quality_deferred_release_ms,leaf,False,239,0.004999271904997076,0.0048959991545416415,0.006495996785815805,0.00927999644773081
