node,event,sequence,frame_id,queue_size,queue_max_size,queue_wait_ms,reason,status,timing_valid,timing_source,received_count,processed_count,failed_count,dropped_count,hydra_published_count,frame_fifo_size,frame_fifo_max_size,total_delay_ms,coordinator_delay_ms,classifier_delay_ms,sent_to_classifier_delay_ms,callback_enqueue_delay_ms,frame_queue_wait_ms,classifier_debug_record_delay_ms,image_conversion_delay_ms,sam_prepare_ms,sam_inference_ms,sam_restore_ms,sam_other_ms,sam_delay_ms,geometry_metadata_ms,frame_assignment_ms,track_association_ms,crop_update_ms,run_rap_other_ms,active_segments_publish_ms,semantic_dispatch_ms,quality_deferred_release_ms,rap_delay_ms,label_map_delay_ms,metadata_delay_ms,result_message_build_delay_ms,classifier_other_ms,hydra_build_delay_ms,hydra_depth_filter_ms,hydra_metadata_build_ms,hydra_build_other_ms,hydra_publish_delay_ms,unknown_publish_delay_ms,coordinator_other_ms,pipeline_wait_ms,num_masks,num_known,num_unknown,num_unknown_tracks,num_vlm_queued,unknown_track_id,candidate_id,track_seen_count,best_frame_score,predicted_label,label_confidence,mobility_class,mobility_confidence,vlm_delay_ms,total_age_ms,backend,model
rsg_object_detection,dropped_oldest,12,rsg_20260806_14_854879999_000012,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,12,rsg_20260806_14_854879999_000012,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,13,0,0,11,0,0,1,73.56552099372493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,13,rsg_20260806_14_904880000_000013,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,13,rsg_20260806_14_904880000_000013,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,14,0,0,12,0,0,1,24.890300999686588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,14,rsg_20260806_14_954879999_000014,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,14,rsg_20260806_14_954879999_000014,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,15,0,0,13,0,0,1,49.925951003388036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,15,rsg_20260806_15_004879999_000015,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,15,rsg_20260806_15_004879999_000015,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,16,0,0,14,0,0,1,54.65955499676056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,16,rsg_20260806_15_054880000_000016,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,16,rsg_20260806_15_054880000_000016,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,17,0,0,15,0,0,1,50.00217799533857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,17,rsg_20260806_15_104879999_000017,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,17,rsg_20260806_15_104879999_000017,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,18,0,0,16,0,0,1,50.405135996697936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,18,rsg_20260806_15_154880000_000018,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,18,rsg_20260806_15_154880000_000018,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,19,0,0,17,0,0,1,48.7253659957787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,19,rsg_20260806_15_204879999_000019,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,19,rsg_20260806_15_204879999_000019,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,20,0,0,18,0,0,1,49.41639699973166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,frame_trace,1,rsg_20260806_14_304880000_000001,,,,ok,sent_to_hydra,,,,,,,,,,951.4699440042023,7.037331000901759,943.1806650027283,1.0693180011003278,0.13853300333721563,0.9307849977631122,0.0010560033842921257,6.649318995187059,0.2254470018669963,391.76171800500015,24.384748001466505,0.005919995601288974,416.37783300393494,52.902472016285174,14.599545000237413,4.897385988442693,439.4636159922811,0.6279250010265969,1.2629240009118803,0.036097000702284276,0.005759997293353081,513.8243019973743,2.76723199931439,0.13248399773146957,3.4020050006802194,0.02749000850599259,4.195952998998109,3.7105289957253262,0.08973099465947598,0.39569300861330703,2.243372997327242,0.5937169989920221,0.004288005584385246,0.18157399608753622,8,0,8,0,0,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,21,rsg_20260806_15_304880000_000021,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,21,rsg_20260806_15_304880000_000021,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,22,1,0,19,1,0,1,47.67297700163908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,22,rsg_20260806_15_354879999_000022,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,22,rsg_20260806_15_354879999_000022,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,23,1,0,20,1,0,1,51.01280500093708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,23,rsg_20260806_15_404880000_000023,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,23,rsg_20260806_15_404880000_000023,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,24,1,0,21,1,0,1,62.97849600377958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,24,rsg_20260806_15_454879999_000024,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,24,rsg_20260806_15_454879999_000024,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,25,1,0,22,1,0,1,38.256840998656116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,25,rsg_20260806_15_504880000_000025,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,25,rsg_20260806_15_504880000_000025,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,26,1,0,23,1,0,1,50.58216299948981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,26,rsg_20260806_15_554880000_000026,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
