stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,308,603.3714623742302,596.3203409919515,770.7431880116928,1403.2276880025165
classifier_delay_ms,aggregate,False,308,539.5456477568326,543.3758365034009,649.2238439968787,932.0174599997699
sam_delay_ms,aggregate,False,308,323.26254052900543,320.2742239955114,411.48409599554725,484.05196401290596
sam_inference_ms,leaf,False,308,302.5625629928651,299.52599349053344,390.0833369989414,463.6465980001958
rap_delay_ms,aggregate,False,308,176.35647779568356,171.34156300016912,261.7343780002557,567.7242740057409
geometry_metadata_ms,leaf,True,308,102.88750499069454,95.90083600051003,172.24921798333526,257.40654999390244
frame_assignment_ms,leaf,True,308,65.76630393862037,59.07288150774548,108.12440699373838,476.3683080091141
sent_to_classifier_delay_ms,aggregate,False,308,48.890585578145014,34.71292400354287,127.46472901199013,571.4359550038353
frame_queue_wait_ms,leaf,True,308,48.738930632255205,34.58458800014341,127.3302970075747,571.3068030017894
geometry_projection_ms,leaf,False,308,42.296431395497365,37.203999992925674,97.8416159923654,165.02990898152348
result_message_build_delay_ms,leaf,True,308,31.37167875972303,30.676179005240556,59.19052299577743,80.89042600477114
geometry_stats_ms,leaf,False,308,28.275848912536667,24.50119449349586,52.81317300978117,90.2148320019478
geometry_mask_extract_ms,leaf,False,308,24.496496927564625,21.50067701586522,41.521214006934315,99.83800999179948
sam_restore_ms,leaf,False,308,20.28821997368873,19.891521995305084,28.335523995338008,34.062483988236636
coordinator_delay_ms,aggregate,False,308,12.663904997562103,12.504151498433203,18.247583997435868,22.607702994719148
hydra_build_delay_ms,aggregate,False,308,7.889119216855903,7.868589505960699,12.369614996714517,16.161812003701925
hydra_depth_filter_ms,leaf,True,308,7.206850590828017,7.196726000984199,11.559916005353443,15.493976010475308
geometry_depth_gather_ms,leaf,False,308,6.9748001783941085,5.187455477425829,16.872146996320225,38.90754900930915
label_map_delay_ms,leaf,True,308,5.356868717561675,4.694081500929315,11.597356002312154,27.729959998396225
track_association_ms,leaf,True,308,4.075409184295424,3.690262499731034,7.00574200891424,23.451945002307184
hydra_publish_delay_ms,leaf,True,308,3.975785311261213,3.6762304953299463,5.8284560072934255,10.285834010574035
image_conversion_delay_ms,leaf,True,308,2.9935931361015045,2.0062269977643155,6.9476419885177165,13.695664005354047
pipeline_wait_ms,leaf,False,308,2.2680600384112704,2.182518001063727,4.349955008365214,9.86646798264701
active_segments_publish_ms,leaf,True,308,1.4227355390790148,1.3851405019522645,1.8199070036644116,3.458737992332317
crop_update_ms,leaf,True,308,1.401657355395932,0.9319370074081235,5.049383020377718,9.347275001346134
unknown_publish_delay_ms,leaf,True,308,0.7828058212955464,0.7165604984038509,1.0131210001418367,4.20014800329227
hydra_build_other_ms,leaf,True,308,0.5827209766815846,0.5307545143296011,0.6486410129582509,11.538074002601206
run_rap_other_ms,leaf,True,308,0.41172223219681264,0.3381775022717193,0.45129597128834575,16.16967999143526
sam_prepare_ms,leaf,False,308,0.40315432148394414,0.21124799241079018,1.090881007257849,6.370873990817927
semantic_dispatch_ms,leaf,False,308,0.36792786997537336,0.36944100429536775,0.7219530089059845,3.8540660025319085
metadata_delay_ms,leaf,True,308,0.15781630215563133,0.14340799680212513,0.1990080054383725,1.535490999231115
callback_enqueue_delay_ms,leaf,True,308,0.15165494588980838,0.14368049596669152,0.1929279969772324,0.3640020004240796
hydra_metadata_build_ms,leaf,True,308,0.09954764934630109,0.09553599375067279,0.13190400204621255,0.21417699463199824
classifier_other_ms,leaf,True,308,0.04667251660184656,0.044448002881836146,0.05407999560702592,0.5339850031305104
coordinator_other_ms,leaf,True,308,0.016194648149441444,0.005264002538751811,0.006880000000819564,3.1635019840905443
sam_other_ms,leaf,False,308,0.008603240967676793,0.007264010491780937,0.009472001693211496,0.1747839996824041
quality_deferred_release_ms,leaf,False,308,0.005267857851357768,0.005056004738435149,0.007071997970342636,0.02380801015533507
classifier_debug_record_delay_ms,leaf,False,308,0.0032640032790746394,0.002943997969850898,0.005887995939701796,0.007296010153368115
