stage,kind,candidate_eligible,samples,mean_ms,median_ms,p95_ms,max_ms
total_delay_ms,aggregate,False,277,568.3792701010682,554.7146019962383,722.2104259999469,1293.9119130023755
classifier_delay_ms,aggregate,False,277,508.3702852992473,504.26512998819817,639.4601619977038,834.4334529974731
sam_delay_ms,aggregate,False,277,326.2588799283785,323.47080900217406,406.7472030001227,516.7524360003881
sam_inference_ms,leaf,False,277,304.2380542348102,300.5886070022825,383.41417799529154,490.45905499951914
rap_delay_ms,aggregate,False,277,150.84961042950638,142.50162099779118,236.1535219970392,481.7564809927717
geometry_metadata_ms,leaf,True,277,83.93886283197439,77.05704997351859,149.81786998396274,249.9652199767297
frame_assignment_ms,leaf,True,277,58.94438662882079,54.73601999983657,106.41929600387812,335.66014299867675
assignment_candidate_search_ms,leaf,False,277,46.937086072032564,44.84890199091751,93.01876099198125,314.69876499613747
sent_to_classifier_delay_ms,aggregate,False,277,45.71912535747836,30.175241001415998,117.94495800859295,690.9847990027629
frame_queue_wait_ms,leaf,True,277,45.56792525632142,30.005546999746002,117.80969600658864,690.8846409933176
geometry_projection_ms,leaf,False,277,34.676802300859414,27.36589098640252,80.50216903211549,130.33645601535682
geometry_mask_extract_ms,leaf,False,277,23.504538458203797,20.57545601564925,40.470258973073214,76.23424002667889
result_message_build_delay_ms,leaf,True,277,23.044181498446726,21.828051991178654,41.112213002634235,51.67192799854092
sam_restore_ms,leaf,False,277,21.622029275087883,21.478544993442483,29.53388000605628,34.88176999962889
assignment_3d_geometry_ms,leaf,False,277,20.71863577866318,17.88528199540451,43.83364738896489,60.33390398079064
geometry_stats_ms,leaf,False,277,18.240326669792953,16.378730986616574,34.863858003518544,58.060362993273884
coordinator_delay_ms,aggregate,False,277,12.605705963616218,12.336928004515357,17.611798000871204,33.54248400137294
assignment_centroid_iou_ms,leaf,False,277,10.950307066172835,8.845676085911691,23.891774137155153,42.1586231677793
hydra_build_delay_ms,aggregate,False,277,7.575897342316968,6.8760529975406826,12.138314006733708,23.065271001541987
hydra_depth_filter_ms,leaf,True,277,6.925346827252587,6.193696986883879,11.468915996374562,22.50003301014658
geometry_depth_gather_ms,leaf,False,277,6.707461190816361,5.326543003320694,14.116328020463698,29.901978967245668
assignment_a2_redundancy_ms,leaf,False,277,6.298185541916097,5.830150010297075,12.427301000570878,19.5015569915995
assignment_scoring_ms,leaf,False,277,6.199280642545009,4.978040786227211,14.165346146910451,35.25559416448232
label_map_delay_ms,leaf,True,277,5.2258939490572045,4.3105259974254295,11.006585991708562,19.898826009011827
hydra_publish_delay_ms,leaf,True,277,4.218190125938226,3.7792709917994216,7.14350699854549,16.74604399886448
track_association_ms,leaf,True,277,4.1853140868138965,3.6548869975376874,7.970788996317424,14.190470014000311
assignment_a3_nested_ms,leaf,False,277,3.7170870069688395,3.2049110013758764,7.343535995460115,12.480671997764148
image_conversion_delay_ms,leaf,True,277,2.760056115536436,1.8274280009791255,6.505117999040522,11.520111991558224
assignment_row_init_ms,leaf,False,277,2.275369240291289,1.6712669021217152,5.880482887732796,17.60389082483016
assignment_hungarian_ms,leaf,False,277,1.9020965894527013,1.8077800050377846,3.621736992499791,8.699609010363929
pipeline_wait_ms,leaf,False,277,1.6804967769140056,1.5904080064501613,2.930835005827248,8.422144994256087
active_segments_publish_ms,leaf,True,277,1.513608086264578,1.388650998705998,1.8448679911671206,16.062276990851387
crop_update_ms,leaf,True,277,1.4855751840461597,1.02599999809172,4.56741800007876,13.730058999499306
unknown_publish_delay_ms,leaf,True,277,0.792963822977029,0.7015570008661598,1.0113769967574626,4.754135996336117
hydra_build_other_ms,leaf,True,277,0.5496365582614142,0.5343280208762735,0.6526940123876557,2.5355429970659316
sam_prepare_ms,leaf,False,277,0.39116492495361027,0.20937299996148795,1.2688449933193624,5.69949799682945
semantic_dispatch_ms,leaf,False,277,0.380459657375573,0.32834699959494174,0.7175890059443191,5.455629012431018
run_rap_other_ms,leaf,True,277,0.3773927552955871,0.35455501347314566,0.4951590090058744,2.5203119876096025
metadata_delay_ms,leaf,True,277,0.17117302219042158,0.1478060003137216,0.19494100706651807,3.387882999959402
callback_enqueue_delay_ms,leaf,True,277,0.15120010115693758,0.14543799625243992,0.18770901078823954,0.37708198942709714
hydra_metadata_build_ms,leaf,True,277,0.1009139568029671,0.0965750077739358,0.12435000098776072,0.35532300535123795
classifier_other_ms,leaf,True,277,0.06049035613161145,0.04579099186230451,0.05878199590370059,3.1347030017059296
association_lock_wait_ms,leaf,False,277,0.05101288118465242,0.014782999642193317,0.023486994905397296,3.9390750316670164
coordinator_other_ms,leaf,True,277,0.018654672383996474,0.005088004400022328,0.006560017936863005,3.613255001255311
assignment_lock_wait_ms,leaf,False,277,0.010034108083923802,0.004895991878584027,0.006143993232399225,1.3693219952983782
sam_other_ms,leaf,False,277,0.007631493526820215,0.007360009476542473,0.009440002031624317,0.03180700878147036
quality_deferred_release_ms,leaf,False,277,0.0047366210891586135,0.004576009814627469,0.006079004378989339,0.009568000677973032
classifier_debug_record_delay_ms,leaf,False,277,0.0036567038123492515,0.0027840142138302326,0.0055679993238300085,0.1359650050289929
